Instance,DockID,Position
1,1,2
1,2,4
1,3,3
1,4,6
1,5,5
2,1,5
2,2,6
2,3,3
2,4,2
2,5,4
3,1,2
3,2,6
3,3,3
3,4,5
3,5,4
3,6,2
3,7,6
4,1,5
4,2,2
4,3,4
5,1,5
5,2,6
5,3,4
5,4,2
6,1,2
6,2,6
6,3,3
6,4,5
6,5,4
7,1,6
7,2,3
7,3,4
8,1,4
8,2,3
8,3,2
8,4,5
8,5,6
9,1,6
9,2,2
9,3,5
9,4,3
10,1,5
10,2,2
10,3,4
10,4,3
10,5,6
10,6,5
10,7,2
11,1,6
11,2,4
11,3,5
11,4,2
11,5,3
11,6,6
11,7,4
12,1,5
12,2,2
12,3,4
13,1,3
13,2,5
13,3,2
13,4,6
13,5,4
14,1,6
14,2,4
14,3,3
14,4,5
14,5,2
14,6,6
14,7,4
15,1,2
15,2,4
15,3,6
15,4,3
16,1,3
16,2,6
16,3,4
16,4,5
16,5,2
17,1,4
17,2,3
17,3,2
17,4,5
17,5,6
18,1,4
18,2,3
18,3,2
18,4,5
18,5,6
19,1,4
19,2,2
19,3,3
19,4,5
19,5,6
19,6,4
20,1,3
20,2,6
20,3,5
20,4,4
20,5,2
20,6,3
20,7,6
21,1,3
21,2,5
21,3,2
21,4,6
22,1,2
22,2,3
22,3,5
22,4,4
22,5,6
23,1,4
23,2,6
23,3,3
23,4,2
24,1,2
24,2,3
24,3,5
24,4,6
24,5,4
24,6,2
24,7,3
25,1,3
25,2,6
25,3,4
25,4,2
25,5,5
25,6,3
26,1,5
26,2,2
26,3,4
27,1,5
27,2,4
27,3,2
27,4,3
27,5,6
27,6,5
27,7,4
28,1,3
28,2,6
28,3,2
29,1,6
29,2,3
29,3,2
29,4,5
29,5,4
29,6,6
29,7,3
30,1,3
30,2,4
30,3,5
