Instance,TruckID,Destination,Cost,Capacity,DockPosition
1,1,2,705,6,2
1,2,1,608,6,4
1,3,2,705,6,2
1,4,1,608,6,3
1,5,1,608,6,5
1,6,1,608,6,4
1,7,1,608,6,4
1,8,2,705,6,3
1,9,2,705,6,3
1,10,1,608,6,4
2,1,2,751,6,4
2,2,2,751,6,6
2,3,1,770,6,6
2,4,1,770,6,3
2,5,2,751,6,2
2,6,2,751,6,3
2,7,1,770,6,5
2,8,3,766,6,4
2,9,2,751,6,2
3,1,3,399,6,6
3,2,4,294,6,4
3,3,2,445,6,3
3,4,4,294,6,5
3,5,4,294,6,4
3,6,1,232,6,5
3,7,3,399,6,2
3,8,1,232,6,5
3,9,1,232,6,4
3,10,4,294,6,6
4,1,3,637,6,2
4,2,2,412,6,4
4,3,1,337,6,5
4,4,1,337,6,4
4,5,3,637,6,5
4,6,3,637,6,4
4,7,2,412,6,4
5,1,2,788,6,5
5,2,3,780,6,5
5,3,3,780,6,5
5,4,2,788,6,6
5,5,3,780,6,5
5,6,1,386,6,6
5,7,3,780,6,4
5,8,3,780,6,2
5,9,3,780,6,2
5,10,1,386,6,2
6,1,2,737,6,5
6,2,3,394,6,3
6,3,1,640,6,5
6,4,2,737,6,6
6,5,3,394,6,3
6,6,2,737,6,3
6,7,3,394,6,2
6,8,3,394,6,3
6,9,3,394,6,6
7,1,2,507,6,6
7,2,2,507,6,4
7,3,2,507,6,3
7,4,2,507,6,4
7,5,1,722,6,4
7,6,2,507,6,4
7,7,1,722,6,3
7,8,2,507,6,3
7,9,1,722,6,6
8,1,2,351,6,5
8,2,2,351,6,6
8,3,3,608,6,2
8,4,2,351,6,4
8,5,1,391,6,5
8,6,2,351,6,6
8,7,2,351,6,4
8,8,3,608,6,4
8,9,2,351,6,3
8,10,3,608,6,2
9,1,2,504,6,3
9,2,2,504,6,6
9,3,2,504,6,6
9,4,4,336,6,5
9,5,1,264,6,6
9,6,2,504,6,3
10,1,2,269,6,6
10,2,3,393,6,4
10,3,3,393,6,2
10,4,3,393,6,3
10,5,4,466,6,6
11,1,2,463,6,6
11,2,3,272,6,6
11,3,5,685,6,4
11,4,1,470,6,4
11,5,5,685,6,5
11,6,4,646,6,3
12,1,3,233,6,4
